CustomerID,Name,Gender,Age,AccountType,AccountBalance,TransactionDate,TransactionAmount,TransactionType
22,Daniel King,Male,36,Checking,7800,08-04-2024,1200,Deposit
23,Megan Wright,Female,39,Savings,8000,02-04-2024,-400,Withdrawal
23,Megan Wright,Female,39,Savings,7600,07-04-2024,800,Deposit
24,Brandon Lewis,Male,31,Checking,7000,01-04-2024,-300,Withdrawal
24,Brandon Lewis,Male,31,Checking,6700,05-04-2024,500,Deposit
25,Tiffany Hill,Female,49,Savings,9000,01-04-2024,-400,Withdrawal
25,Tiffany Hill,Female,49,Savings,8600,06-04-2024,800,Deposit
26,Jose Baker,Male,28,Checking,7500,03-04-2024,-600,Withdrawal
26,Jose Baker,Male,28,Checking,6900,08-04-2024,1100,Deposit
27,Kimberly Green,Female,37,Savings,6000,02-04-2024,-200,Withdrawal
27,Kimberly Green,Female,37,Savings,5800,07-04-2024,400,Deposit
28,Steven Perez,Male,35,Checking,8500,01-04-2024,-700,Withdrawal
28,Steven Perez,Male,35,Checking,7800,05-04-2024,1200,Deposit
29,Stephanie Scott,Female,40,Savings,8000,03-04-2024,-500,Withdrawal
29,Stephanie Scott,Female,40,Savings,7500,08-04-2024,1000,Deposit
30,Nicholas Gonzalez,Male,32,Checking,7000,02-04-2024,-400,Withdrawal
30,Nicholas Gonzalez,Male,32,Checking,6600,07-04-2024,700,Deposit
31,Rebecca Carter,Female,41,Savings,9000,01-04-2024,-300,Withdrawal
31,Rebecca Carter,Female,41,Savings,8700,05-04-2024,600,Deposit
32,Joshua Wright,Male,29,Checking,7500,03-04-2024,-600,Withdrawal
32,Joshua Wright,Male,29,Checking,6900,08-04-2024,1100,Deposit
33,Lisa Perez,Female,38,Savings,7000,02-04-2024,-200,Withdrawal
33,Lisa Perez,Female,38,Savings,6800,07-04-2024,600,Deposit
34,Kevin Adams,Male,33,Checking,8500,01-04-2024,-700,Withdrawal
34,Kevin Adams,Male,33,Checking,7800,05-04-2024,1200,Deposit
35,Christina Martinez,Female,40,Savings,8000,03-04-2024,-500,Withdrawal
35,Christina Martinez,Female,40,Savings,7500,08-04-2024,1000,Deposit
36,Brian Cooper,Male,32,Checking,7000,02-04-2024,-400,Withdrawal
36,Brian Cooper,Male,32,Checking,6600,07-04-2024,700,Deposit
37,Ashley Rodriguez,Female,41,Savings,9000,01-04-2024,-300,Withdrawal
37,Ashley Rodriguez,Female,41,Savings,8700,05-04-2024,600,Deposit
38,Daniel Turner,Male,29,Checking,7500,03-04-2024,-600,Withdrawal
38,Daniel Turner,Male,29,Checking,6900,08-04-2024,1100,Deposit
39,Jennifer Baker,Female,38,Savings,7000,02-04-2024,-200,Withdrawal
39,Jennifer Baker,Female,38,Savings,6800,07-04-2024,600,Deposit
40,Christopher Lewis,Male,33,Checking,8500,01-04-2024,-700,Withdrawal
40,Christopher Lewis,Male,33,Checking,7800,05-04-2024,1200,Deposit
41,Amanda Adams,Female,40,Savings,8000,03-04-2024,-500,Withdrawal
41,Amanda Adams,Female,40,Savings,7500,08-04-2024,1000,Deposit
42,Matthew Parker,Male,32,Checking,7000,02-04-2024,-400,Withdrawal
42,Matthew Parker,Male,32,Checking,6600,07-04-2024,700,Deposit
43,Kimberly Nelson,Female,41,Savings,9000,01-04-2024,-300,Withdrawal
43,Kimberly Nelson,Female,41,Savings,8700,05-04-2024,600,Deposit
44,Richard Mitchell,Male,29,Checking,7500,03-04-2024,-600,Withdrawal
44,Richard Mitchell,Male,29,Checking,6900,08-04-2024,1100,Deposit
45,Amy White,Female,38,Savings,7000,02-04-2024,-200,Withdrawal
45,Amy White,Female,38,Savings,6800,07-04-2024,600,Deposit
46,Michael Wright,Male,33,Checking,8500,01-04-2024,-700,Withdrawal
46,Michael Wright,Male,33,Checking,7800,05-04-2024,1200,Deposit
47,Laura Hernandez,Female,40,Savings,8000,03-04-2024,-500,Withdrawal
47,Laura Hernandez,Female,40,Savings,7500,08-04-2024,1000,Deposit
48,David Young,Male,32,Checking,7000,02-04-2024,-400,Withdrawal
48,David Young,Male,32,Checking,6600,07-04-2024,700,Deposit
49,Michelle Torres,Female,41,Savings,9000,01-04-2024,-300,Withdrawal
49,Michelle Torres,Female,41,Savings,8700,05-04-2024,600,Deposit
50,James King,Male,29,Checking,7500,03-04-2024,-600,Withdrawal
50,James King,Male,29,Checking,6900,08-04-2024,1100,Deposit
51,Kriti Khurana,,,,0,,,
52,Kirti,,,,0,,,
53,Aditya Sapra,,,,0,,,
54,Kritika Mittal,,,,0,,,
55,Ritu ,,,,0,,,
56,Rashmi,,,,0,,,
57,Aman,,,,0,,,
58,Rahul,,,,0,,,
59,Anubhav,,,,0,,,
60,Anjali,,,,0,,,
61,Suman,,,,0,,,
62,Prem,,,,0,,,
